,query
676,what is the name of the great comedy with kareem abdul jabar in it and is about a jet
677,what s the name of the movie where a young girl from kansas is transported to a magical fantasy land and finds her way home with the help of a group of its inhabitants
678,what s the bill murray movie where he plays a weather man and his days repeat over and over again
679,name the 2011 film based off the game in which the player who controls time
680,i am thinking of the steven spielberg modern classic about the lives of several characters touched by a ufo sighting
681,in this fantastical drama kevin costner meets the ghosts of baseball past who instruct him to build a baseball diamond on his farm
682,what is the comedy fantasy starring johnny depp as a vampire who is set free from imprisonment and returns to his home
683,which disney animated classic features the budding romance between a spoiled cocker spaniel and a scruffy poor mutt from the other side of the tracks
684,what s that 1984 slasher movie written and directed by wes craven starring some scary dude in a hat named freddie krueger
685,what movie based on a stephen king novel depicts a writer s slow descent into madness after becoming a caretaker of a hotel in the winter
686,which movie has joe pesci and sharon stone in a las vegas setting with lots of drama
687,the marshmallow goo was actually shaving cream that covered the actors at the end of this 1984 comedy
688,what movie starring lee marvin and john cassavetes focuses on a rag tag group of american soldiers
689,what is the movie where a girl takes some drugs and goes to a fantasy land with talking cats and rabbits called
690,julia roberts stars as a married woman who realizes how unhappy her marriage really is and that her life needs to go in a different direction in this 2010 movie based on a bestseller
691,this movie with christopher reeves as a chicago playwright using self hypnosis to find the actress whose portrait hangs in a grand hotel
692,find me that 3 d animated movie with the red head girl as the main character
693,what academy award winning horror classic directed by william freidkin chronicles a priest s attempts to save the soul of a possessed girl
694,which 1980 american slasher film directed by sean s cunningham focuses on a killer in a hockey mask
695,this 2011 political thriller about dirty politics during a presidential candidate was directed by one of its stars
696,what movie stars jason segel and emily blunt and follows them from their proposal to their walk down the aisle
697,i am thinking of a film starring leonardo dicaprio and kate winslet as star crossed lovers who are passengers a doomed voyage
698,i am thinking of the ang lee martial arts fantasy film about a wudang swordsman who loses his fabled sword to an unlikely opponent
699,what movie starring natalie portman required her to train extensively for her role as a ballerina
700,a classic movie monster finds his soulmate in this 1935 film directed by james whale
701,this computer animated children s film that stars a mammoth a sabertooth tiger and a sloth is named what
702,what 1995 crime film saw the godfather part ii co stars al pacino and robert de niro work on screen together for the first time
703,in what movie is davy jones the captain of the ship better know as the flying dutchman
704,this heartbreaking classic originally a novel by nicholas sparks is about the trials and tribulations of a war hero s heart
705,what is the 2000 film directed by ang lee starring chow yun fat that features two warriors after a stolen sword
706,what 2012 ben affleck movie dramatizes the 80 s cia and canadian secret operation to free iranian hostages
707,what is this disney classic about a puppet who had strange things happen to him when he lies
708,what is this 1930 s film in which a giant ape finds himself on the empire state building
709,in this superhero movie a man can create anything he can image using his ring
710,what is the movie about the archeologist indiana jones who races nazi s to retrieve the biblical ark
711,what is the movie about a possessed child played by linda blair that receives help from a pair of priests
712,what is the old tcm kind of movie with the character nan and this gangster
713,what 1993 movie featured 2 dogs and 1 cat trying to make their way back to their owners
714,what disney animated classic features a street thief who falls in love with a princess and tries to woo her with the help of a magic genie
715,what is the name of a tim burton fantasy film starring johnny depp and winona ryder
716,what stanley kubrick film scared the wits out of audiences by simply repeating all work and no play makes jack a dull boy
717,a relationship blooms between two robots trying to save humans from a consumerist nightmare ship in space
718,what is the name of the 1964 disney musical starring julie andrews and dick van dyke
719,which oscar winning film features guy pearce as an ambitious detective who uncovers a plot involving politicians policeman and hollywood players
720,spawning several remakes and sequels this horror film featuring leatherface is loosely based on real life events
721,i am thinking of the very sad 70 s era film about a football player who is stricken with cancer in the prime of his career
722,what is the movie in which a family tries to support yet distance themselves from one black sheep family member who tends to fall into idealism
723,the movie has nick cage playing his own twin and he writes book and it won an oscar
724,i want to watch the comedy starring adam sandler who plays dual roles of a boy girl set of fraternal twins and their wacky antics
725,in what movie does gary cooper play a sheriff that has to face off against his enemy and his town refuses to help him
726,this classic film includes many well known lines and songs including there s no place like home
727,what is the name of the 1985 movie that features a character named dr emmett brown
728,when a woman gets ready to remarry her exhusband and a newspaper reporter show up
729,in this 1990 holiday comedy classic a young boy finds himself left behind when his family leaves for vacation only to have to battle a pair of bumbling thieves
730,what is the name of the film that daniel craig and rooney star in based off a book by a swedish author
731,classic children s movie starring a princess and two evil stepsisters who compete for the the prince at the ball
732,what was the name of the 1970 s movie that starred kris kristofferson and barbara streisand
733,what quentin tarantino oscar nominated film featured interwoven stories of gangster thugs a boxer s redemption a drug overdose and a failed restaurant stick up while reigniting john travolta s career
734,what is the movie starring matthew broderick about a high school senior and his friends cutting school for the day
735,can you tell me what the name of the romantic comedy that has a young unlucky woman who jinxes her love life after stealing magic coins
736,what 1952 drama starred gary cooper and grace kelly features a sheriff going alone against a vigilante
737,what movie portrays some of the real life events of a mass murderer on the loose
738,i am thinking of the second installment of a comedic science fiction film that is based off of a classic jules verne story and that stars the rock and vanessa hudgens
739,what 1969 romantic comedy musical film was based on the broadway production of the same name
740,what is comedy drama that stars joesph gordon levitt as a cancer patient that deals with his cancer while still maintaining his life
741,what sam mendes directed oscar winner shows the audience how one man s depression can lead to his obsession with a much younger girl
742,this is a 1996 movie that starred ralph fiennes juliette binoche and willem dafoe involving a world war ii plane crash victim
743,in 2002 this soccer film starred parminder nagra and keira knightley
744,do you know the horror movie based on the idea of a lot of mutated killer fish
745,what is the western starring henry fonda which is about lynching men believed to be cattle rustlers
746,i want the remake of the 1941 classic horror story of a man who is bitten by a cursed animal and must try to find a way to break the spell
747,tell me the movie that is the ending of a franchise that stars daniel radcliffe
748,what is the john wayne masterpiece that tells the story of a famous battle from both the allied and german point of view
749,what is the official name of the famous holiday special from the popular peanuts gang
750,in what classic christmas movie remake did richard attenborough play a department store santa clause
751,based on a critically acclaimed television series this m night picture flopped at the box office
752,in this movie with brad pitt a convict is sent back in time to gather information about the man made virus that wiped out most of the human population on the planet
753,what is the movie about a young girl set to avenge her fathers death set in the old west
754,what is the 2005 horror film written and directed by rob zombie which is the sequel to house of 1000 corpses
755,what is the name of the movie that is a re telling of the classic story of rapunzel
756,the story of oskar schindler during world war ii discovering his true beliefs about the what he witnesses
757,adapted from the book by lewis carroll this movie tells the story of a young girl who followed a rabbit down a rabbit hole what is the name of this film
758,what s the soderbergh film about the woman who works for a spy agency and gets double crossed
759,in what movie did faye dunaway bear her father s child making that child both her daughter and her sister
760,what is the 1998 comedy film written and directed by the coen brothers which stars jeff bridges as the dude
761,i am thinking of a psychological thriller film that tells the story of a released convicted rapist who seeks revenge upon the family of the defense attorney who helps to convict him
762,what s the movie with mark wahlberg who plays a boxer in boston trying to make it
763,what movie is a sequel starring bruce campbell where he replaces his hand with a chainsaw
764,this 1962 musical follows the life story of the most famous stripper in burlesque as she emerges from under her domineering mother s control
765,what special effects fantasy film tells the story of perseus and his attempts to rescue andromeda with the intervention of greek gods
766,this 1994 prison drama was directed by frank darabont and stars tim robbins and morgan freeman
767,this 1977 movie directed by steven spielberg features a man whose life is altered dramatically after seeing ufos
768,what is the name of that al pacino movie where he has a beard and plays a new york cop
769,in what movie is paul newman s character told by george kennedy s character that nobody can eat fifty eggs
770,name the pixar animation film about a elderly man and his flying house
771,i m thinking of a movie that is the first in a trilogy about a small creature from middle earth
772,what is the name of the movie that was adapted from a children s book where it would rain food
773,in what film did james franco portray a hiker literally stuck between a rock and a hard place
774,what s that old chick flick all girls seem to love with audrey hepburn wearing some big black glasses hat and dress
775,which 2010 comicbook adapted film has its title character fighting off twelve evil exes of the girl he loves
776,this movie stars jesse eisenberg as the founder of facebook mark zuckerburg in his college years at harvard
777,what s the movie based on a true story about a baseball team manager who uses a new system to built a winning team
778,what is the film that brought the final attack at hogwarts school of magic and the end of a series
779,released in 1977 at the height of the disco craze this film is remembered for its catchy soundtrack courtesy of the bee gees and john travolta dancing in a white suit what is the name of this film
780,name the 2008 film about a horse and it s jockey s ability to overcome the overwhelming odds
781,what movie features an oversized primate residing on skull island and lusts after blonde actress
782,this 1995 david fincher thriller contains the ultimate ending twist for the detective portrayed by brad pitt
783,what 1995 bryan singer movie featuring kevin spacey involves conmen trying to get even with police
784,i m thinking of a movie in which tom hanks plays a down on his luck man that decides to go back to college and is taught by julia roberts
785,what movie depicts the early years of millionaire howard hughes and is played by leonardo dicaprio
786,what 2010 movie featured zac efron as a young man able to see his dead brother
787,what s the movie where a teen is admitted into a psychiatric institute and becomes friends with the patients there
788,what s the comedy classic that features king aurthur and his knights of the round table getting into hilarious scrapes
789,name the classic christmas film that shows how a person can have a second chance at life to see the brighter side of it
790,what is the movie about the young little people from lord of the rings growing
791,what campy horror flick features a college student who becomes a lycanthrope during his visit in england
792,what guy pearce movie featured a backward timeline version of the script when released on dvd
793,when a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme he finds their love is profoundly changing him for the better in this 2010 animation
794,this movie is an early 80 s cult favorite starring emilio estevez and harry dean stanton
795,i m thinking of a dramatic film starring ryan o neal and ali macgraw as a star crossed and ill fated couple
796,what s the name of that movie where george c scoot plays a tough foul mouthed general during wwii
797,which stanley kubrick stephen king concoction starred jack nicholson who delivers a chilling performance as a sequestered innkeeper
798,i am thinking of the film where the thief fagin is the ringleader of a group of young pickpockets
799,this is a movie about the life of a newspaper tycoon and the mystery surrounding his final words
800,what film is about an escape by allied prisoners of war from a german pow camp during world war ii
801,i m thinking of the second installment to a hilarious movie about a group of men who go through hell and back after getting wasted the night before one of them is to be married
802,i m thinking of that horro movie where a girl goes to college and her crazed roommate becomes obsessed with her
803,the cast of this musical television show about a high school club perform songs from the first and second seasons of the show in this 2010 film
804,which movie starred russell brand as a rock star that fell off the wagon after his single african child tanked
805,this is a disney princess movie made in 1937 and is the first of many disney animated canon
806,leonard nemoy once sang a song about the protagonists travels in this precursor to lord of the rings
807,do you know the name of the film starring channing tatum where a girl is in an accident and loses her memories
808,what is the 1992 american horror film starring virginia madsen and tony todd about a man who had his hand replaced with a hook
809,what is the comedy featuring will ferrell and zach galifianaki competing against each other to become the new congressman
810,which film set in the future is about a young robot with incredible powers who was created by a brilliant scientist in the image of the son he has lost
811,what is the movie of the girl from kansas that gets taken to a made up land by a tornado
812,this classic film tells the story of a poor boy who gets the chance of a lifetime to tour a candy manufacturer
813,name the childrens movie that is the third in a series about six chipmunks that get marooned on an island during a cruise
814,what 2010 film returns to new york and the character of the egotistical stockbroker gordon gekko
815,this film tells the story of america s first triple crown horse in 25 years that beat the odds in 1973
816,johnny depp stars in this tim burton movie adaption of a popular 1966 television show
817,what is that 1994 american disney animated classic that follows a young cub called simba as he grows up and becomes an adult
818,what is this classic horror movie with freddy kruger as murdering people through their dreams
819,this francois truffaut film is recognized as one of the most important of the nouvelle vague movement among french filmmakers and was the first of his films focusing on fictional character antoine doinel
820,in what movie do a group of animals set off on an adventure after their continent begins to drift
821,what is the film starring mark wahlberg that is a remake of a sci fi classic starring charlton heston
822,what is the movie where a guy who does n t believe in the tooth fairy is made to act like one
823,what is the movie directed by john carpenter about a killer that escapes from a mental hospital seeking to kill his younger sister
824,what movie tells the story of a successful lawman s plans to retire anonymously in tombstone arizona which are disrupted by the kind of outlaws he was famous for eliminating
825,what is the movie that stars emma stone where she acts as a maid with other women
826,the video game played by the air traffic controllers is the atari 2600 s basketball in this 1980 spoof
827,there is a movie in which a forlorn cafe owner named rick played by humphrey bogart says play it again sam
828,what s the 1970 s neo noir film with jack nicholson which is about the water supply in 1920 s california
829,which absorbing drama starring dustin hoffman chronicles the hardships and adjustments required after a messy divorce
830,i m thinking of the movie that starred emma stone as a high schooler who made up promiscuous rumors about herself
831,i am thinking of the classic 80 s film starring chevy chase and beverly d angelo as parents who take their two teenagers on a comically ill fated road trip to walley world
832,i m thinking of a classic 70 s dystopian film about a group of sociopathic punk teens who go out on a crime spree
833,this bernardo bertolucci film swept the academy awards and starred john lones as china s final ruler
834,what is that movie starring ethan hawke about a future world whereby a plague has turned most of the world s population into vampires
835,oprah winfrey starred in this movie with danny glover
836,i m thinking of a 1986 movie about the vietnam war starring charlie sheen and tom berenger
837,i need a funny animated movie which is also romantic and has familiar name as the shakespear love story
838,what s the classic film about a screenwriter who gets trapped by an aged slightly crazy silent film star
839,what 1988 japanese anime classic depicts the adventures of tetsuo a future biker gang leader
840,what 2012 film starred adam sandler and andy samberg as a father and son who could n t be more different
841,in this 2011 remake of a popular 1984 movie dennis quaid plays a preacher who does not want teenagers to dance or listen to rock music
842,i am thinking of the sci fi thriller that stars charlize theron as the leader of a space crew in search of the source of human life
843,what is the mel gibson movie where his daughter is murdered and he discovers she was an activist
844,i m thinking of a documentary about two basketball players from chicago who dream of becoming professional
845,which film tells the story of a submarine that is attacked by a giant squid
846,what is the comedy where billy crystal and his friends take a vacation out west
847,which movie was directed by james cameron and features arnold schwarzenegger as a android in black sunglasses
848,in what movie did the character played by leonardo dicaprio say i m king of the world
849,i m thinking of the movie that was the first sequel to win an academy award for best picture
850,what comedy starring tony curtis jack lemmon and marilyn monroe was named the funniest film of all time by the american film institute
851,which james cameron film took place on pandora a fictional satellite orbiting the star alpha centauri
852,what 1979 movie stars all three john savage treat williams beverly d angelo
853,movie about horses based on a book written by anna sewell
854,what s the disney movie where a princess is kidnapped by a monstrous creature and ends up falling in love with him and breaking the curse upon him revealing that he is really a handsome prince
855,what is that 2011 action film directed by justin lin that was the fifth movie in a series that started with the fast and the furious
856,a tragedy by william shakespeare the title character descends into madness after foolishly disposing of his estate between two of his three daughters based on their flattery bringing tragic consequences for all
857,what is the name of the movie where it involved penguins coming back from their first journey
858,which 1939 classic features the adventures of a kansas girl who is transported by tornado to a magical land and seeks to return home
859,what s that older pacino movie where he s a cuban refugee with this player friend and pacino gets really big and powerful and ultimately gets killed
860,the russel brand movie where he basically plays himself and jonah hill tries to get him to some theater
861,i m looking for the hit romantic comedy about a single woman who falls in love while she is pregnant by artificial insemination
862,what is the 1990 movie in which robert de niro ray liotta and joe pesci work as mobsters
863,what is the movie where a kid is a hostage for robbing a bank for two guys in monkey suits
864,this revolutionary 3 d film tells the tale of a strange alien species on a far off planet and the humans who attempt to learn their ways
865,what 1999 bruce willis film gave rise to director m night shyamalan s reputation as a master of twist endings
866,what famous film was the first of a popular movie series to be released yet was subtitled episode iv in the opening scroll
867,in what movie does the character ratso rizzo appear
868,which movie stars emilio estevez as a punk rocker who has something alien in his car s trunk
869,in this movie a serial killer sets out on a mission on all hallows eve
870,if a public bus goes under a certain mph a bomb will explode what s the name of that movie
871,what is the academy award winning movie that takes place in india about a young boy who wins a game show
872,featuring paul rudd and jennifer aniston what film has the two living in a hippie commune
873,what is the 2010 movie starring jeff bridges and garrett hedlund about a son who goes looking for his father and gets lost in the digital world that his father created
874,this j j abrams film is about a group of friends who witness a train crash while filming a movie
875,natalie portman plays nina a troubled ballet dancer in this dreamy 2010 dramatic thriller
876,this movie was written by ben affleck and matt damon who also starred in it in this 1997 film
877,what s the movie with gene hackman where he plays a tough cop trying to prevent the importation of heroin
878,in which film do a couple of summer lovers unexpectedly discover they re now in the same high school
879,in what animated film does james earl jones provide his voice for the evil mufasa
880,what marvel comic book film featured a blond viking like hero who wields a magical hammer
881,what 1997 movie earned best friends ben affleck and matt damon an academy award for best original screenplay
882,what is that 1954 japanese adventure drama film directed by akira kurosawa about villagers who hire samurai to deal with bandits
883,what s that somewhat new boring movie girls love that s actually quite disgusting with a diarrhea scene and about a woman about to get married and her friends
884,what film won the academy award for best documentary feature at the 47 th academy awards presented in 1975
885,what is the animated movie from 2010 where rapunzel spends her entire life in a tower until a thief stumbles upon her and helps her discover the world for the first time
886,what film stars f murray abraham as a colleague to a famous but eccentric composer
887,what is the latest installment of the fast and the furious series
888,what is that superhero movie starring ryan reynolds that is based on the famous dc comics series
889,what ron howard directed fantasy movie starred val kilmer alongside a dwarf who also played an ewok
890,based on a very popular book this 2012 adventure film starred jennifer lawrence as a brave archer
891,this 1990 romantic film starring demi moore and patrick swayze features a famous scene involving pottery
892,what s the movie where tom hanks and his team has to save a soldier during wwii
893,robert deniro and joe pesci open shop in las vegas in this 1995 martin scorsese epic
894,this 1980 slasher flick about a mother seeking revenge against camp counselors spawned over 10 sequels what is it
895,do you know the name of the recent detective drama based off of sir conan doyle s work which was directed by guy ritchie
896,what is the movie starring cary elwes as the man in black that comes to rescue his true love princess buttercup
897,what is the movie about four friends who are separated when they are young but come together again
898,what animated film features only music written by elton john as well as garden sculptures
899,which superhero action comedy film tells the story of an ordinary teenage who sets out to become a real life superhero
900,what 1948 humphrey bogart movie set in mexico was one of the first hollywood films to be filmed almost entirely on location outside the united states
901,which movie has a face off between ripley and one bad momma
902,what s the clint eastwood movie that tells the story of a wwii battle from the perspective of the japanese
903,what movie in 2012 was a sequel to the popular franchise that started with a group of male friends each wanting to lose their virginity
904,mel gibson did n t go to the audition for this 1979 action film to read for a part he actually went along with a friend who was auditioning
905,what s the kenneth branagh film based on a shakespeare play a famous king of england
906,what s that hilarious movie about the ocd guy and the messy guy living together in an apartment
907,what is the name of the disney film about a an enchanted prince who learns about love and compassion
908,stanley kubrick s 1968 futuristic science fiction adventure movie that featured a computer named h a l 9000
909,what is the tv paranormal action horror found footage show that came out in 2012 on the abc network
910,that movie with woody allen and diane keaton in new york and she wears a tie
911,what is the name of the third movie in the michael bay franchise about alien robots the autobots and decepticons
912,which film popularized the line hello gorgeous starred barbra streisand and omar sharif and was a musical turned movie
913,what is this 1969 american epic western film directed by sam peckinpah about an aging outlaw gang on the texas mexico border
914,what movie starring leonard nimoy and william shattner has them traveling back in time to find humpback whales
915,what s the film with cuba gooding jr about life in compton including casual gang violence
916,the much loved character of the house elf dobby sadly dies at the end of what movie
917,i m thinking of a movie with jessica lange and susan sarandon where they play girlfriends running away from their lives together
918,what is the movie that has a teenager becoming a superhero
919,what is the name of the 2012 film featuring denzel washington based off of an airline captain named whip
920,what is the movie starring robert downey jr where he has to bum a ride with a budding actor so he can make it to his child s birth on time
921,what is this 2010 comedy starring steve carrell in which he is selected as the perfect idiot
922,what is the movie from 1946 about an angel who helps a business man by showing him what life would be if he never existed
923,faye dunaway chewed up the scenery playing joan crawford and had a thing about wire coat hangers in what film
924,a serial killer chooses victims and methods of death based on the deadly sins while detectives pursue him in this gritty graphic thriller
925,what movie does hank azaria play wizard trying to capture little blue characters when they are forced through a portal to new your city
926,an iconic actress is a villain who terrorizes her children and beat one with a wire hanger
927,if it s beginning to look a lot like christmas there is no avoiding this james stewart film
928,in this 2011 sci fi thriller intergalactic bounty hunters are searching for their next target who is hiding on earth
929,i am thinking of the sequel film that continues the stories of carrie bradshaw and her girlfriends
930,what s the comedy about a retired secret agent who comes out of retirement to stop a very bad guy
931,i m thinking about that black and white movie with slim pickens where he rides a bomb out of an airplane
932,what film stars keanu reeves as neo a computer hacker and lawrence fishburn as morpheus
933,this musical hit of 2013 included anne hathaway and amanda seyfriend portrayed the horrors of the french revolution
934,film in which roy scheider s character utters the line your re gonna need a bigger boat
935,this spielberg movie prominently features shark attacks and kept many people out of the water for some time after it s release
936,what ang lee movie starring chow yun fat revolutionized the way martial arts was shown on film
937,i m thinking of a romantic movie with a man left with scissors for hands falls in love with a beautiful teenage girl
938,the movie where there is a force of evil
939,colin firth won an oscar for his portrayal of britain s monarch who was the father of queen elizabeth
940,what s that movie with bruce willis about a guy whose family is kidnapped while on a trip to spain
941,what s one of the movies about a crew of guys who perform a series of painful outrageous stunts
942,what is the james cameron movie featuring a race of blue people in outer space
943,what is the 2010 movie in which harry races against time and evil to destroy the horcruxes and uncovers the existence of three most powerful objects in the wizarding world
944,what s the movie based on a comic book about a very patriotic super hero who must save the world
945,what s the movie where brad pitt plays a hitman whose is hired to clean up after a poker game robbery
946,which coen brother s film stars francis mcdormand and william h macy as well as the town of brainerd minnesota
947,what was the movie where a man s twin brother took over his position in the cia
948,this world war ii film is famous for its long and gory opening scene depicting the allied assault on omaha beach on d day
949,i m thinking of the horror movie where people get murdered by freddie krueger when they fall asleep
950,what was the first animated movie ever to have the distinction of being nominated for best picture at the academy awards
951,i m thinking of a movie based in kenya where meryl streep s character falls in love with robert redford s character
952,what s the horror film that spawned a bunch of sequels and takes place on camp crystal lake
953,this movie introduces the concepts of xenomorphs and facehuggers in a scary corporate dystopian future
954,what s the japanese film about a village under threat from bandits who decide to hire protection
955,which movie has characters with aliases based on colors ie mr brown mr pink mr blue
956,what s the silent russian film mostly takes place on a ship and later features the famous odessa steps sequence
957,what is the movie with the main character odysseus
958,i am thinking of a movie that held the highest grossing film of all time until 1966
959,what is the adult comedy about a hick moving to l a to follow in his parent s footprints and become a porn star
960,what is the movie with the rat that sings about overeating at the fair and the pig that loves a spider
961,what comedy directed by ron howard featured vince vaughn who catches his best friend s wife with another man
962,what is the horror thriller about a young girl going to live with her father in a new home where creatures want to claim her
963,i m thinking of a movie where a family goes on vacation but leaves their youngest child behind
964,what s the comedy that teams up bruce willis and traci morgan as mismatched police officers
965,judy garland leads in this 1939 film about a girl who falls into a dream of a different world where she meets many different characters including munchkins witches a tin man lion and a scarecrow
966,what is that 2010 american crime drama film starring richard gere don cheadle and directed by antoine fuqua
967,tom hulce portrayed a classical composer facing his demons and creating musical masterpieces as told in this 1984 film
968,a supervillian who has finally defeated a superhero and now has to find a new meaning to his life
969,many call this film starring bruce willis as an off duty detective having a very bad day the original action film
970,this is a 2010 film distributed by walt disney pictures about a sorcerer in modern day manhattan
971,what is the action film starring bruce willis which started the franchise for most of bruce willis s movies
972,this movie has for a long time been number one on the imdb top 250
973,what is the 2000 maritla arts film directed by ang lee and starring chow yun fat that won the academy award for best foreign language film
974,what is the name of the 1975 detective film starring gene hackman as a private investigator
975,this classic orson welles film tells the story of a rich publishing tycoon s life and death
976,i m thinking of a movie based on an acclaimed novel by ken kesey which chronicles the questionable treatment of mentally unfit patients
977,what is the 1973 movie starring richard dreyfuss about a group of high school graduates who spend one final night cruising the strip with their buddies before heading to college
978,what is the best known vietnam war movie directed by oliver stone that captured the best picture oscar
979,this 3 d film from 2010 tells the story of a group of new york city street dancers
980,what is the name of the first of george lucas epic fantasy trilogy from 1978
981,this 2001 animated film starred mike myers as an ogre and spawned three sequels and a spin off starring a cat
982,what is the name of that movie that has the same name has that place where all the hippies partied
983,what movie based on a best selling novel stars robert pattinson as a veterinarian for a traveling circus
984,what s the name of the movie series that was split in half and this was the second film
985,what is the 2006 film directed by clint eastwood that tells the story of a battle between the u s and japan during wwii
986,the will farrel christmas movie where he s an adult playing like a child and he loves smiling
987,what 1972 bob fosse musical is set in berlin during the weimar republic in 1931
988,the movie where the land was full of gas
989,what is the film where a little boy can see dead people
990,what is the movie where aang and his friends try to overthrow the fire lord in an attempt to bring peace to the land
991,this movie is the fifth in a series of horror films where fate catches up with characters who manage to escape death
992,what is this 1987 film where two unlikely l a p d detectives join forces to stop a gang of drug smugglers
993,name the conclusion to the epic fantasy trilogy based off of novels written by j r r tolkein
994,this is a 2011 adaptation of a famous comic book superhero starring chris evans as steve rogers
995,what is that 2011 british spy parody film starring rowan atkinson that pokes fun at the james bond genre
996,what is that 2011 russian american and science fiction thriller film starring emile hirsch and olivia thirlby and directed by chris gorak
997,which star wars film features a scene on planet hoth in which luke skywalker is frozen to a cave ceiling
998,what movie features the iconic shower scene where the main character is killed off early in the movie
999,in what alfred hitchcock film does cary grant flee from a bi plane that swoops down on him in a field
1000,what 1995 romantic comedy film starred michael douglas as a u s head of state looking for love
1001,what 1959 british film starring peter sellers was based on the book of the same name by leonard wibberley
1002,charlie chaplin directed and starred in this classic finding the little tramp in the yukon and eating a shoe
1003,what 2010 comedy does steve carell and paul rudd star in where carell attends rudd s executive party
1004,what is the film about the last day of the year that follows the life of different people on that day
1005,what is the 2007 movie directed by ethan coen and joel coen starring tommy lee jones about a drug deal gone wrong
1006,what is the 1976 american film directed by martin scorsese that was one of robert de niro s most critically acclaimed roles
1007,what s the numerical name of that movie where the little band of spartan warriors fights thousands of persians and almost wins
1008,name the disney animated film about a monster that falls in love with a beautiful girl
1009,what is the name of that old movie starring jimmy stewart and he goes to the capital he s like a senator
1010,some soldiers are brainwashed in the gulf war later one of them runs for vice president
1011,john singleton was the first african american to be nominated for best director for directing this 1991 film
1012,what 1987 italian horror film takes place in a theater late at night as actors rehearse a musical
1013,what is the musical with julie andrews features a song with the lyrics the hills are alive
1014,danny kay stars as a hapless carnival performer caught up in a plot to overthrow the king
1015,what is the movie by quentin tarentino where the criminals have nicknames like mr pink
1016,i am thinking of the classic film that pairs robert redford and paul newman as professional grifters who run a huge caper on a mob boss
1017,what is the 1993 epic drama film directed by steven spielberg and starring liam neeson as a german who helped hide jews during world war ii
1018,what is the james bond movie where he chases a villain who wants to contaminate fort knox and its contents
1019,what is the 1941 comedy written and directed by preston the running time is 90 minutes
1020,a steven spielberg film featuring a bluff called devil s tower and a spectacular mothership
1021,this 1979 thriller featured sigourney weaver and the tag line in space no one can hear you scream
1022,this movie is about a lovelorn english woman and her attempt to find true love
1023,this science fiction movie directed by stanley kubrick features a mysterious black monolith and a computer named hal
1024,a 2010 disney animated canon movie with the main character of rapunzel starring mandy moore
1025,i am thinking of a film that chronicles the life of a dc comic superhero from the planet krypton
1026,i am thinking of a popular movie that starred seven little men the leader named doc
1027,what is the violent movie about what happens to a crew holed up in a warehouse after a bank robbery
1028,in which 1979 film did robert duvall confess i love the smell of napalm in the morning
1029,what film did spike lee direct about the life of a controversial civil rights activist
1030,this movie is the third iteration of a horror movie that involves spirits murdering people at night while they sleep
1031,what 2010 movie starring channing tatum and amanda seyfried is based on a nicholas sparks novel
1032,although this is the first movie made featuring hannibal the cannibal it is actually the second story in thomas harris novels featuring that character
1033,what is that comedy parody film about ancient times starring james franco danny mcbride and natalie portman
1034,who s the main character in this movie
1035,what s that classic hollywood movie which is basically a re telling of the book of exodus
1036,what is the 1988 comedy starring john cleese about the aftermath of a jewel robbery
1037,what is this 1939 american political drama about an average american becoming a congressman and filibustering for hours
1038,i m thinking of a movie starring denzel washington about a boxer wrongly imprisoned for murder
1039,what is the 1974 movie starring jack nickelsen where he stars as a private detective who is investigating an adultery case and stumbles upon a murder scheme
1040,name the movie based on a mythological hero who gets banished to earth and ends up saving the human race
1041,the movie by the guy who created family guy about a stuffed animal that comes to life
1042,what is that movie starring charlton heston about an astronaut that lands in a future earth where simians run things
1043,what s that jim henson 80 s fantasy movie similar to lord of the rings about little troll characters
1044,can you name the film that is about children fighting in games based off of a series of novels
1045,what animated film features robin williams as a mythical wish granter whose best friend is a parrot
1046,what s that quirky coen brothers movie about the dude and his buddies getting embroiled in an odd adventure
1047,which film featured the character travis bickle and the much imitated line are you talking to me
1048,what is the disney animated classic about an outcast lion cub that ends up becoming the king of the jungle
1049,two con men played by robert redford and paul newman pull cons during the depression
1050,what 1961 movie won 2 oscars the following year and stars audrey hepburn as holly golightly
1051,what is the movie where a young new york socialite becomes interested in a young man who has moved into her apartment building
1052,what quentin tarantino film is the first in a two part revenge story of a former assassin who is gunned down at her own wedding
1053,what is that documentary about the famous singer who got famous off of youtube at a very young age
1054,what is this 1962 film where we learn the story of a senator who shot a criminal
1055,what 1989 movie starring kevin costner featured the line if you build it he will come
1056,in this 2010 movie a young boy who is being bullied befriends his next door neighbor who is a vampire
1057,do you know the new m night movie based off of a cartoon show previously aired on nick
1058,which film features a killer in a jumpsuit who dons a william shatner mask painted white
1059,in which movie did zero mostel mount a musical production called springtime for hitler and germany
1060,what is the name of the movie starring tom hanks with the catch phrase life is like a bunch of chocolates
1061,i m thinking of a 1939 french film directed by jean renoir about wealthy society in france
1062,what 1941 humphrey bogart film concerned the search for the stuff that dreams are made out of
1063,margaret hamilton a life long fan of the frank baum books was ecstatic when she learned the producers were considering her for the role of the witch in this classic
1064,this is a 1963 movie about pows escaping from a german camp that stars steve mcqueen
1065,this is the third movie in a series of adventures in middle earth and is rooted in tolkein s writings
1066,a 2009 animated movie by 20 th century fox starring ray romano john leguizamo and denis leary
